square/okhttp,"10,050","2,542",Java,An HTTP+HTTP/2 client for Android and Java applications.,https://github.com/square/okhttp,Web libraries and frameworks
spring-projects/spring-framework,"8,271","6,897",Java,The Spring Framework,https://github.com/spring-projects/spring-framework,Web libraries and frameworks
afollestad/material-dialogs,"5,663","1,147",Java,"A beautiful, easy-to-use, and customizable dialogs API, enabling you to use Material designed dialogs down to API 8.",https://github.com/afollestad/material-dialogs,Web libraries and frameworks
